"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
16098,"OssMMNet2004_10_16098.net","MM",2004,10,39,6.111,37.346,0,0,0.0979938,0.00960278483844,2.01818,1,18,324,7,0.359477,0.359477
16098,"OssMMNet2004_11_16098.net","MM",2004,11,291,4,16,0,0,0.0777778,0.00604938617284,2,1,18,324,8,0.235294,0.235294
16098,"OssMMNet2004_12_16098.net","MM",2004,12,776,0.8,0.64,0,0,0.0711111,0.00505678854321,2,1,15,225,9,0.0571429,0.0571429
16098,"OssMMNet2005_7_16098.net","MM",2005,7,321,0.333,0.111,0.0833333,0.00694443888889,0.0873498,0.00762998756004,2,2,12,144,10,0.030303,0.0454545
16098,"OssMMNet2005_8_16098.net","MM",2005,8,309,7.333,53.778,0,0,0.164444,0.027041829136,2.01818,1,15,225,11,0.52381,0.52381
16348,"OssMMNet2001_8_16348.net","MM",2001,8,290,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,2,2,3,9,1,0.666667,1
16348,"OssMMNet2001_10_16348.net","MM",2001,10,1382,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,4,2,3,9,2,0.666667,1
16348,"OssMMNet2001_11_16348.net","MM",2001,11,63,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,3.5,2,3,9,3,0.666667,1
16348,"OssMMNet2001_12_16348.net","MM",2001,12,2215,3,9,0.166667,0.027777888889,0.429293,0.184292479849,3.55556,2,6,36,4,0.6,0.666667
16348,"OssMMNet2002_1_16348.net","MM",2002,1,1313,5.5,30.25,0.75,0.5625,0.841667,0.708403338889,2.95455,2,8,64,5,0.785714,1
16348,"OssMMNet2002_2_16348.net","MM",2002,2,966,5.231,27.361,0.846154,0.715976591716,0.20194,0.0407797636,2.82353,2,13,169,6,0.435897,0.576923
16348,"OssMMNet2002_3_16348.net","MM",2002,3,1413,5.538,30.675,0,0,0.16213,0.0262861369,3.13889,1,13,169,7,0.461538,0.461538
16348,"OssMMNet2002_4_16348.net","MM",2002,4,1086,5.538,30.675,0,0,0.16213,0.0262861369,2.88889,1,13,169,8,0.461538,0.461538
16348,"OssMMNet2002_5_16348.net","MM",2002,5,803,5.857,34.306,0.285714,0.081632489796,0.161571,0.026105188041,3,2,14,196,9,0.450549,0.494505
16348,"OssMMNet2002_6_16348.net","MM",2002,6,693,4.462,19.905,0.538462,0.289941325444,0.158709,0.025188546681,3.24138,2,13,169,10,0.371795,0.461538
16348,"OssMMNet2002_7_16348.net","MM",2002,7,725,4.154,17.254,0.692308,0.479290366864,0.157733,0.024879699289,3.18519,2,13,169,11,0.346154,0.461538
