"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
8653,"OssPPNet2004_4_8653.net","PP",2004,4,310,19.091,364.463,0,0,0.479339,0.229765876921,1.0619,1,22,484,4,0.909091,0.909091
8653,"OssPPNet2004_5_8653.net","PP",2004,5,321,20.087,403.486,0,0,0.480151,0.230544982801,1.0303,1,23,529,5,0.913043,0.913043
8653,"OssPPNet2004_6_8653.net","PP",2004,6,184,17.2,295.84,0.9,0.81,0.930676,0.866157816976,1.05814,2,20,400,6,0.905263,1
8653,"OssPPNet2004_7_8653.net","PP",2004,7,338,15.222,231.716,0.888889,0.790123654321,0.923681,0.853186589761,1.07299,2,18,324,7,0.895425,1
8653,"OssPPNet2004_8_8653.net","PP",2004,8,316,10.308,106.249,0.846154,0.715976591716,0.898122,0.806623126884,1.02985,2,13,169,8,0.858974,1
8731,"OssPPNet2004_6_8731.net","PP",2004,6,473,4.286,18.367,0,0,0.44898,0.2015830404,1,1,7,49,6,0.714286,0.714286
8731,"OssPPNet2004_8_8731.net","PP",2004,8,11,2,4,0,0,1,1,1,1,3,9,8,1,1
8731,"OssPPNet2004_9_8731.net","PP",2004,9,47,2,4,0,0,1,1,1,1,3,9,9,1,1
8731,"OssPPNet2004_10_8731.net","PP",2004,10,2,2,4,0,0,1,1,1,1,3,9,10,1,1
8731,"OssPPNet2004_11_8731.net","PP",2004,11,186,2,4,0,0,1,1,1,1,3,9,11,1,1
8731,"OssPPNet2004_12_8731.net","PP",2004,12,14,3,9,0,0,1,1,1,1,4,16,12,1,1
8731,"OssPPNet2005_1_8731.net","PP",2005,1,344,4,16,0,0,1,1,1,1,5,25,1,1,1
8731,"OssPPNet2005_2_8731.net","PP",2005,2,294,4,16,0,0,1,1,1,1,5,25,2,1,1
8731,"OssPPNet2005_3_8731.net","PP",2005,3,306,4,16,0,0,1,1,1,1,5,25,3,1,1
8731,"OssPPNet2005_4_8731.net","PP",2005,4,269,5,25,0,0,1,1,1,1,6,36,4,1,1
8731,"OssPPNet2005_5_8731.net","PP",2005,5,908,7,49,0,0,1,1,1.14286,1,8,64,5,1,1
8731,"OssPPNet2005_6_8731.net","PP",2005,6,794,7,49,0,0,1,1,1.25,1,8,64,6,1,1
8731,"OssPPNet2005_7_8731.net","PP",2005,7,534,7,49,0,0,1,1,1.32143,1,8,64,7,1,1
8731,"OssPPNet2005_8_8731.net","PP",2005,8,682,6,36,0,0,1,1,1.42857,1,7,49,8,1,1
