"pid","filename.x","type.x","year","month","commits.x","mdegree.x","mdegree2.x","mbetween.x","mbetween2.x","mclose.x","mclose2.x","mweight.x","diameter.x","networksize.x","networksize2.x","age.x","density.x","connect.x","filename.y","type.y","commits.y","mdegree.y","mdegree2.y","mbetween.y","mbetween2.y","mclose.y","mclose2.y","mweight.y","diameter.y","networksize.y","networksize2.y","age.y","density.y","connect.y"
12643,"OssMMNet2004_1_12643.net","MM",2004,1,266,0.933,0.871,0.2,0.04,0.0745144,0.00555239580736,2.28571,2,15,225,11,0.0666667,0.0952381,"OssPPNet2004_1_12643.net","PP",266,3.333,11.111,0.833333,0.694443888889,0.771825,0.595713830625,1.9,2,6,36,1,0.666667,1
12643,"OssMMNet2004_2_12643.net","MM",2004,2,169,0.667,0.444,0.0666667,0.00444444888889,0.0710454,0.00504744886116,2.2,2,15,225,12,0.047619,0.0571429,"OssPPNet2004_2_12643.net","PP",169,2.667,7.111,1.16667,1.3611188889,0.705688,0.497995553344,1.625,2,6,36,2,0.533333,1
12643,"OssMMNet2004_3_12643.net","MM",2004,3,155,0.667,0.444,0.0666667,0.00444444888889,0.0710454,0.00504744886116,2.2,2,15,225,13,0.047619,0.0571429,"OssPPNet2004_3_12643.net","PP",155,2.8,7.84,0.6,0.36,0.786667,0.618844968889,1.71429,2,5,25,3,0.7,1
12643,"OssMMNet2004_4_12643.net","MM",2004,4,521,0.75,0.562,0.3125,0.09765625,0.0687255,0.00472319435025,2.16667,3,16,256,14,0.05,0.0833333,"OssPPNet2004_4_12643.net","PP",521,4,16,1,1,0.767687,0.589343329969,1.42857,2,7,49,4,0.666667,1
12643,"OssMMNet2004_5_12643.net","MM",2004,5,351,0.5,0.25,0.125,0.015625,0.0660079,0.00435704286241,2,2,16,256,15,0.0333333,0.05,"OssPPNet2004_5_12643.net","PP",351,3,9,1,1,0.74041,0.5482069681,1.33333,2,6,36,5,0.6,1
12643,"OssMMNet2004_6_12643.net","MM",2004,6,332,0.375,0.141,0,0,0.0641741,0.00411831511081,2,1,16,256,16,0.025,0.025,"OssPPNet2004_6_12643.net","PP",332,2.75,7.562,2.625,6.890625,0.600152,0.360182423104,1.18182,3,8,64,6,0.392857,1
12643,"OssMMNet2004_7_12643.net","MM",2004,7,129,0.375,0.141,0,0,0.0641741,0.00411831511081,2,1,16,256,17,0.025,0.025,"OssPPNet2004_7_12643.net","PP",129,2.857,8.163,1.85714,3.4489689796,0.647258,0.418942918564,1.2,3,7,49,7,0.47619,1
12643,"OssMMNet2004_8_12643.net","MM",2004,8,111,0.4,0.16,0,0,0.0687179,0.00472214978041,2,1,15,225,18,0.0285714,0.0285714,"OssPPNet2004_8_12643.net","PP",111,2.333,5.444,1.66667,2.7777888889,0.628668,0.395223454224,1.28571,3,6,36,8,0.466667,1
12643,"OssMMNet2004_9_12643.net","MM",2004,9,538,0.375,0.141,0,0,0.0641741,0.00411831511081,2,1,16,256,19,0.025,0.025,"OssPPNet2004_9_12643.net","PP",538,2.857,8.163,1.85714,3.4489689796,0.647258,0.418942918564,1.2,3,7,49,9,0.47619,1
12643,"OssMMNet2004_10_12643.net","MM",2004,10,1683,0.316,0.1,0,0,0.0536093,0.00287395704649,2,1,19,361,20,0.0175439,0.0175439,"OssPPNet2004_10_12643.net","PP",1683,3.429,11.755,1.57143,2.4693922449,0.686456,0.471221839936,1.16667,3,7,49,10,0.571429,1
12643,"OssMMNet2004_11_12643.net","MM",2004,11,490,0.941,0.886,0.411765,0.169550415225,0.0671224,0.00450541658176,2.125,2,17,289,21,0.0588235,0.110294,"OssPPNet2004_11_12643.net","PP",490,4,16,1,1,0.778571,0.606172802041,1.5,2,7,49,11,0.666667,1
12643,"OssMMNet2004_12_12643.net","MM",2004,12,627,0.444,0.198,0,0,0.0570761,0.00325768119121,2,1,18,324,22,0.0261438,0.0261438,"OssPPNet2004_12_12643.net","PP",627,3.75,14.062,1.75,3.0625,0.695518,0.483745288324,1.2,3,8,64,12,0.535714,1
12643,"OssMMNet2005_1_12643.net","MM",2005,1,437,0.471,0.221,0,0,0.0606401,0.00367722172801,2,1,17,289,23,0.0294118,0.0294118,"OssPPNet2005_1_12643.net","PP",437,3.25,10.562,2.125,4.515625,0.645117,0.416175943689,1.23077,3,8,64,1,0.464286,1
12643,"OssMMNet2005_2_12643.net","MM",2005,2,600,0.5,0.25,0,0,0.0646949,0.00418543008601,2,1,16,256,24,0.0333333,0.0333333,"OssPPNet2005_2_12643.net","PP",600,3.25,10.562,2.125,4.515625,0.645117,0.416175943689,1.23077,3,8,64,2,0.464286,1
12643,"OssMMNet2005_3_12643.net","MM",2005,3,216,0.933,0.871,0,0,0.071746,0.005147488516,2,1,15,225,25,0.0666667,0.0666667,"OssPPNet2005_3_12643.net","PP",216,3.75,14.062,1.625,2.640625,0.70869,0.5022415161,1.26667,2,8,64,3,0.535714,1
