"pid","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
24855,"MM",2004,2,308,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2,1,6,36,2,0.2,0.2
24855,"MM",2004,3,2145,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2,1,6,36,3,0.2,0.2
24855,"MM",2004,4,1426,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2,1,6,36,4,0.2,0.2
24855,"MM",2004,5,1258,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2,1,6,36,5,0.2,0.2
24855,"MM",2004,6,496,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2,1,6,36,6,0.2,0.2
24855,"MM",2004,7,453,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2,1,6,36,7,0.2,0.2
24855,"MM",2004,8,354,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2,1,6,36,8,0.2,0.2
24855,"MM",2004,9,688,0.28,0.0784,0,0,0.28,0.0784,2,1,5,25,9,0.3,0.3
24855,"MM",2004,10,990,0.17415,0.0303282225,0,0,0.17415,0.0303282225,2,1,7,49,10,0.190476,0.190476
24855,"MM",2004,11,660,0.17415,0.0303282225,0,0,0.17415,0.0303282225,2,1,7,49,11,0.190476,0.190476
24855,"MM",2004,12,577,0.17415,0.0303282225,0,0,0.17415,0.0303282225,2,1,7,49,12,0.190476,0.190476
24855,"MM",2005,1,1206,0.204082,0.041649462724,0,0,0.204082,0.041649462724,2.16667,1,7,49,1,0.285714,0.285714
24855,"MM",2005,2,1162,0.44,0.1936,0,0,0.44,0.1936,2.5,1,5,25,2,0.6,0.6
24855,"MM",2005,3,2263,0.269744,0.072761825536,0.2,0.04,0.269744,0.072761825536,2,2,5,25,3,0.2,0.3
24855,"MM",2005,4,593,0.269744,0.072761825536,0.2,0.04,0.269744,0.072761825536,2,2,5,25,4,0.2,0.3
24855,"MM",2005,10,1661,0.24,0.0576,0,0,0.24,0.0576,2,1,5,25,10,0.2,0.2
25471,"MM",2001,3,143,0.140625,0.019775390625,0,0,0.140625,0.019775390625,2,1,8,64,3,0.107143,0.107143
25471,"MM",2001,4,49,0.167347,0.028005018409,0,0,0.167347,0.028005018409,2,1,7,49,4,0.142857,0.142857
25471,"MM",2001,5,135,0.139656,0.019503798336,0.125,0.015625,0.139656,0.019503798336,2,2,8,64,5,0.0714286,0.107143
25471,"MM",2001,6,83,0.132132,0.017458865424,0.2,0.04,0.132132,0.017458865424,2.125,2,10,100,6,0.177778,0.222222
25471,"MM",2001,7,191,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,2,1,11,121,7,0.0545455,0.0545455
25471,"MM",2001,8,202,0.135047,0.018237692209,0.111111,0.012345654321,0.135047,0.018237692209,2.2,2,9,81,8,0.138889,0.166667
25471,"MM",2001,9,164,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.66667,1,6,36,9,0.2,0.2
25667,"MM",2002,8,1057,0.100694,0.010139281636,0,0,0.100694,0.010139281636,2.3,1,12,144,8,0.151515,0.151515
25667,"MM",2002,9,1511,0.097941,0.009592439481,0.461538,0.213017325444,0.097941,0.009592439481,2.44444,2,13,169,9,0.115385,0.192308
25667,"MM",2002,10,348,0.104959,0.011016391681,0,0,0.104959,0.011016391681,2.28571,1,11,121,10,0.127273,0.127273
25667,"MM",2002,11,338,0.103306,0.010672129636,0,0,0.103306,0.010672129636,2.33333,1,11,121,11,0.109091,0.109091
25667,"MM",2002,12,754,0.114522,0.013115288484,0,0,0.114522,0.013115288484,2.2,1,11,121,12,0.181818,0.181818
25667,"MM",2003,1,731,0.103306,0.010672129636,0,0,0.103306,0.010672129636,2.33333,1,11,121,1,0.109091,0.109091
25667,"MM",2003,2,454,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,2.33333,1,11,121,2,0.0545455,0.0545455
25667,"MM",2003,3,441,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,2.33333,1,11,121,3,0.0545455,0.0545455
25667,"MM",2003,4,205,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,2,1,11,121,4,0.0545455,0.0545455
26009,"MM",2003,6,141,0.0858586,0.00737169919396,0,0,0.0858586,0.00737169919396,2,1,12,144,6,0.030303,0.030303
26009,"MM",2003,7,259,0.28368,0.0804743424,0.615385,0.378698698225,0.28368,0.0804743424,2.04255,2,13,169,7,0.602564,0.705128
26009,"MM",2003,8,187,0.197899,0.039164014201,1,1,0.197899,0.039164014201,2.04167,2,12,144,8,0.363636,0.545455
26009,"MM",2003,9,679,0.159218,0.025350371524,0.461538,0.213017325444,0.159218,0.025350371524,2.06667,2,13,169,9,0.384615,0.461538
26009,"MM",2003,10,279,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.22222,1,12,144,10,0.545455,0.545455
26009,"MM",2003,11,73,0.161111,0.025956754321,0,0,0.161111,0.025956754321,2.28571,1,12,144,11,0.424242,0.424242
26009,"MM",2003,12,84,0.208333,0.043402638889,0,0,0.208333,0.043402638889,2.22222,1,12,144,12,0.545455,0.545455
26009,"MM",2004,1,112,0.158234,0.025037998756,0.416667,0.173611388889,0.158234,0.025037998756,2.26087,2,12,144,1,0.348485,0.424242
26009,"MM",2004,2,56,0.130322,0.016983823684,0.333333,0.111110888889,0.130322,0.016983823684,2.35294,2,12,144,2,0.257576,0.318182
26009,"MM",2004,3,128,0.113095,0.012790479025,0,0,0.113095,0.012790479025,2.33333,1,12,144,3,0.227273,0.227273
26009,"MM",2004,4,234,0.0900723,0.00811301922729,0,0,0.0900723,0.00811301922729,2.5,1,13,169,4,0.128205,0.128205
26009,"MM",2004,5,98,0.0900723,0.00811301922729,0,0,0.0900723,0.00811301922729,2.4,1,13,169,5,0.128205,0.128205
26009,"MM",2004,6,84,0.0900723,0.00811301922729,0,0,0.0900723,0.00811301922729,2.4,1,13,169,6,0.128205,0.128205
26009,"MM",2004,7,97,0.0900723,0.00811301922729,0,0,0.0900723,0.00811301922729,2.4,1,13,169,7,0.128205,0.128205
26009,"MM",2004,8,68,0.0840237,0.00705998216169,0,0,0.0840237,0.00705998216169,2.66667,1,13,169,8,0.0769231,0.0769231
26009,"MM",2004,9,130,0.0840237,0.00705998216169,0,0,0.0840237,0.00705998216169,2.66667,1,13,169,9,0.0769231,0.0769231
